player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,strikeouts,grounded_into_double_play,sacrifice_flies,sacrifice_hits,errors,batting_average,slugging_percentage,on_base_percentage,on_base_plus_slugging,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg
50054,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50054,천성호,29,1997-10-30,2B,L/R,183cm/85kg,광주화정초-충장중-진흥고-단국대-KT-상무-KT,20 KT 2차 2라운드 12순위,2026,LG,76,221,202,33,56,14,1,1,75,26,5,1,14,3,33,7,0,2,8,0.277,0.371,0.333,0.704,2026-07-20,True,True,183,85
50066,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50066,강현우,25,2001-04-13,C,R/R,180cm/90kg,원종초(부천시리틀)-부천중-유신고,20 KT 2차 1라운드 2순위,2026,KT,21,23,19,1,3,0,0,0,3,0,0,0,4,0,6,1,0,0,1,0.158,0.158,0.304,0.462,2026-07-20,True,True,180,90
50092,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50092,윤준혁,25,2001-07-26,1B,R/R,186cm/86kg,역촌초(은평구리틀)-충암중-충암고-KT,20 KT 2차 4라운드 32순위,2026,NC,3,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.75,2026-07-20,True,True,186,86
50150,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50150,손호영,32,1994-08-23,3B,R/R,182cm/88kg,의왕부곡초-평촌중-충훈고-LG,20 LG 2차 3라운드 23순위,2026,롯데,62,168,152,19,33,9,0,4,54,17,2,2,11,3,32,3,2,0,6,0.217,0.355,0.28,0.635,2026-07-20,True,True,182,88
50167,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50167,이주형,25,2001-04-02,OF,L/R,181cm/80kg,송수초(해운대리틀)-센텀중-경남고-LG,20 LG 2차 2라운드 13순위,2026,키움,24,103,94,12,23,9,1,2,40,12,4,0,5,3,21,0,0,1,2,0.245,0.426,0.304,0.73,2026-07-20,True,True,181,80
50204,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50204,박지훈,26,2000-09-07,3B,R/R,183cm/80kg,김해삼성초-경남중-마산고,20 두산 2차 5라운드 49순위,2026,두산,79,221,187,28,47,4,2,0,55,18,5,1,20,4,33,3,0,10,7,0.251,0.294,0.336,0.63,2026-07-20,True,True,183,80
50208,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50208,오명진,25,2001-09-04,2B,L/R,179cm/79kg,대전신흥초-한밭중-세광고,20 두산 2차 6라운드 59순위,2026,두산,49,123,106,12,28,6,2,2,44,12,0,3,14,0,22,3,2,1,3,0.264,0.415,0.344,0.759,2026-07-20,True,True,179,79
50357,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50357,박주홍,25,2001-04-16,OF,L/L,187cm/87kg,자양초(하남시리틀)-건대부중-장충고,20 키움 1차,2026,키움,45,159,135,17,32,6,1,2,46,7,3,0,20,4,43,2,0,0,2,0.237,0.341,0.352,0.693,2026-07-20,True,True,187,87
50458,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50458,김지찬,25,2001-03-08,OF,L/R,163cm/64kg,백사초(이천시리틀)-모가중-라온고,20 삼성 2차 2라운드 15순위,2026,삼성,86,332,275,64,86,6,2,0,96,27,15,3,43,3,23,2,3,8,1,0.313,0.349,0.407,0.756,2026-07-20,True,True,163,64
50500,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50500,황성빈,29,1997-12-19,OF,L/R,172cm/76kg,관산초-안산중앙중-소래고-경남대,20 롯데 2차 5라운드 44순위,2026,롯데,69,276,251,38,71,6,6,0,89,20,34,6,18,1,45,1,2,4,3,0.283,0.355,0.331,0.686,2026-07-20,True,True,172,76
50556,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50556,최준용,25,2001-10-10,P,R/R,185cm/85kg,부산수영초-대천중-경남고,20 롯데 1차,2026,롯데,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,185,85
50657,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50657,박민,25,2001-06-05,3B,R/R,184cm/84kg,갈산초-성남중-야탑고-KIA-상무,20 KIA 2차 1라운드 6순위,2026,KIA,73,183,160,18,32,5,0,3,46,20,5,0,14,2,31,6,0,7,5,0.2,0.288,0.273,0.561,2026-07-20,True,True,184,84
50707,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50707,최인호,26,2000-01-30,OF,L/R,178cm/82kg,송정동초-광주동성중-포항제철고-한화-상무,20 한화 2차 6라운드 58순위,2026,한화,29,53,45,5,12,2,0,1,17,6,0,0,5,1,7,2,2,0,0,0.267,0.378,0.34,0.718,2026-07-20,True,True,178,82
50709,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50709,박정현,25,2001-07-27,SS,R/R,183cm/80kg,부천북초-부천중-유신고-한화-상무,20 한화 2차 8라운드 78순위,2026,한화,28,27,25,5,5,1,0,2,12,3,0,0,2,0,6,0,0,0,2,0.2,0.48,0.259,0.739,2026-07-20,True,True,183,80
50812,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50812,박시후,25,2001-05-10,P,L/L,182cm/88kg,상인천초-상인천중-인천고-SK,20 SK 2차 10라운드 100순위,2026,SSG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,182,88
50820,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50820,전의산,26,2000-11-25,1B,L/R,188cm/108kg,부산수영초-개성중-경남고-SK-SSG-상무,20 SK 2차 1라운드 10순위,2026,SSG,34,122,108,8,29,7,0,4,48,17,1,0,11,1,34,2,2,0,3,0.269,0.444,0.336,0.78,2026-07-20,True,True,188,108
50854,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50854,최지훈,29,1997-07-23,OF,L/R,178cm/82kg,광주수창초-무등중-광주제일고-동국대-SK,20 SK 2차 3라운드 30순위,2026,SSG,88,361,330,46,79,15,6,11,139,40,12,0,22,3,50,5,4,2,4,0.239,0.421,0.29,0.711,2026-07-20,True,True,178,82
50868,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50868,류효승,30,1996-07-16,OF,R/R,190cm/100kg,칠성초-경상중-대구상원고-성균관대-SK,20 SK 2차 6라운드 60순위,2026,SSG,8,23,22,1,4,0,0,1,7,1,0,0,1,0,3,0,0,0,0,0.182,0.318,0.217,0.535,2026-07-20,True,True,190,100
50901,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50901,안인산,25,2001-02-27,OF,R/R,181cm/95kg,군포오금초(안양시리틀)-평촌중-야탑고-NC,20 NC 2차 3라운드 21순위,2026,KT,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,2026-07-20,True,True,181,95
50902,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50902,김한별,25,2001-01-18,2B,R/R,177cm/85kg,효제초-선린중-배재고,20 NC 2차 7라운드 61순위,2026,NC,53,115,93,22,23,6,0,0,29,7,2,0,14,6,21,5,0,2,2,0.247,0.312,0.381,0.693,2026-07-20,True,True,177,85
50903,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50903,한재환,25,2001-10-19,2B,R/R,177cm/89kg,기장대청초(기장리틀)-대신중-개성고,20 NC 2차 8라운드 71순위,2026,NC,5,7,7,2,1,0,0,1,4,1,0,0,0,0,2,2,0,0,0,0.143,0.571,0.143,0.714,2026-07-20,True,True,177,89
50996,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=50996,박시원,25,2001-05-30,OF,L/R,185cm/85kg,광주서림초-광주동성중-광주제일고,20 NC 2차 2라운드 11순위,2026,NC,33,75,65,15,16,4,0,1,23,7,2,0,7,0,19,0,1,2,1,0.246,0.354,0.315,0.669,2026-07-20,True,True,185,85
51003,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51003,권동진,28,1998-09-12,SS,L/R,178cm/83kg,제주신광초-세광중-세광고-원광대-KT-상무,21 KT 2차 1라운드 5순위,2026,KT,74,165,137,31,41,11,2,1,59,24,1,1,22,2,39,2,0,4,5,0.299,0.431,0.404,0.835,2026-07-20,True,True,178,83
51013,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51013,유준규,24,2002-08-16,OF,L/R,176cm/69kg,군산신풍초-군산중-군산상고,21 KT 2차 3라운드 25순위,2026,KT,30,49,40,12,12,1,2,0,17,10,3,1,6,0,13,0,0,3,0,0.3,0.425,0.391,0.816,2026-07-20,True,True,176,69
51100,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51100,이영빈,24,2002-06-17,2B,L/R,182cm/82kg,대전동산초(대전중구리틀)-충남중-세광고-LG-상무,21 LG 2차 1라운드 7순위,2026,LG,49,78,71,9,16,2,0,1,21,9,2,1,5,0,20,0,1,1,6,0.225,0.296,0.273,0.569,2026-07-20,True,True,182,82
51203,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51203,안재석,24,2002-02-15,SS,L/R,185cm/75kg,성내초(강동구리틀)-배재중-서울고,21 두산 1차,2026,두산,59,231,209,27,56,13,2,6,91,34,4,0,16,3,41,3,2,1,9,0.268,0.435,0.326,0.761,2026-07-20,True,True,185,75
51230,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51230,김동주,24,2002-02-14,P,R/R,190cm/90kg,갈산초-양천중-선린인터넷고-두산-상무,21 두산 2차 1라운드 10순위,2026,두산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,190,90
