player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
50030,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50030,소형준,25,2001-09-16,P,R/R,189cm/92kg,호암초(의정부리틀)-구리인창중-유신고,20 KT 1차,2026,KT,3.09,12,0,0,5,0,0,0,1.0,286,67,77,3,13,3,53,27,23,2026-07-20,True,True,189,92,201
50106,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50106,유영찬,29,1997-03-07,P,L/R,185cm/90kg,덕성초(안산리틀)-배명중-배명고-건국대,20 LG 2차 5라운드 43순위,2026,LG,0.75,13,0,0,0,1,11,0,0.0,45,12,4,0,6,0,12,1,1,2026-07-20,True,True,185,90,36
50126,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50126,이민호,25,2001-08-30,P,R/R,189cm/93kg,서울학동초-대치중-휘문고,20 LG 1차,2026,LG,0.0,1,0,0,0,0,0,0,,4,1,0,0,1,0,1,0,0,2026-07-20,True,True,189,93,3
50157,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50157,김윤식,26,2000-04-03,P,L/L,181cm/83kg,광주서석초-무등중-진흥고,20 LG 2차 1라운드 3순위,2026,LG,4.32,22,0,0,0,0,0,4,,111,25,20,1,18,3,17,12,12,2026-07-20,True,True,181,83,75
50234,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50234,플렉센,32,1994-07-01,P,R/R,190cm/99kg,미국 Newark Memorial(고),20 두산 자유선발,2026,두산,5.4,2,0,0,0,2,0,0,0.0,26,5,2,1,6,2,3,4,3,2026-07-20,True,True,190,99,15
50464,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50464,이승민,26,2000-08-26,P,L/L,174cm/79kg,본리초-경상중-대구고-삼성-상무,20 삼성 2차 4라운드 35순위,2026,삼성,1.93,45,0,0,4,0,0,14,1.0,177,42,32,2,22,1,33,12,9,2026-07-20,True,True,174,79,126
50556,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50556,최준용,25,2001-10-10,P,R/R,185cm/85kg,부산수영초-대천중-경남고,20 롯데 1차,2026,롯데,3.69,38,0,0,4,3,14,3,0.571,171,39,37,4,19,2,37,19,16,2026-07-20,True,True,185,85,117
50596,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50596,홍민기,25,2001-07-20,P,L/L,185cm/85kg,법동초-한밭중-대전고,20 롯데 2차 1라운드 4순위,2026,롯데,4.76,13,0,0,0,1,0,2,0.0,35,5 2/3,10,0,6,4,8,3,3,2026-07-20,True,True,185,85,17
50641,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50641,장재혁,25,2001-08-02,P,R/R,180cm/86kg,부산금강초(부산동래구리틀)-대신중-경남고,20 KIA 2차 6라운드 56순위,2026,KIA,4.5,4,0,0,0,0,0,0,,29,6,6,0,5,0,5,3,3,2026-07-20,True,True,180,86,18
50650,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50650,최용준,25,2001-12-19,P,R/R,192cm/105kg,양산신양초(양산시리틀)-경남중-부산공고-KIA-KT,20 KIA 2차 10라운드 96순위,2026,SSG,5.73,10,0,0,0,0,0,0,,54,11,12,2,8,2,8,7,7,2026-07-20,True,True,192,105,33
50662,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50662,정해영,25,2001-08-23,P,R/R,189cm/98kg,광주대성초-광주동성중-광주제일고,20 KIA 1차,2026,KIA,5.87,33,0,0,2,1,2,8,0.667,137,30 2/3,35,4,11,1,24,25,20,2026-07-20,True,True,189,98,92
